Log file
24 46541.414141rpm
25 48560.606061rpm
26 50579.797980rpm
27 52598.989899rpm
28 54618.181818rpm
29 56637.373737rpm
30 58656.565657rpm
31 60675.757576rpm
32 62694.949495rpm
33 64714.141414rpm
34 66733.333333rpm
35 68752.525253rpm
36 70771.717172rpm
37 72790.909091rpm
38 74810.101010rpm
39 76829.292929rpm
40 78848.484848rpm
41 80867.676768rpm
42 82886.868687rpm
43 84906.060606rpm
44 86925.252525rpm
45 88944.444444rpm
46 90963.636364rpm
47 92982.828283rpm
48 95002.020202rpm
49 97021.212121rpm
50 99040.404040rpm
51 101059.595960rpm
52 103078.787879rpm
53 105097.979798rpm
54 107117.171717rpm
55 109136.363636rpm
56 111155.555556rpm
57 113174.747475rpm
58 115193.939394rpm
59 117213.131313rpm
60 119232.323232rpm
61 121251.515152rpm
62 123270.707071rpm
63 125289.898990rpm
64 127309.090909rpm
65 129328.282828rpm
66 131347.474747rpm
67 133366.666667rpm
68 135385.858586rpm
69 137405.050505rpm
70 139424.242424rpm
71 141443.434343rpm
72 143462.626263rpm
73 145481.818182rpm
74 147501.010101rpm
75 149520.202020rpm
76 151539.393939rpm
77 153558.585859rpm
78 155577.777778rpm
79 157596.969697rpm
80 159616.161616rpm
81 161635.353535rpm
82 163654.545455rpm
83 165673.737374rpm
84 167692.929293rpm
85 169712.121212rpm
86 171731.313131rpm
87 173750.505051rpm
88 175769.696970rpm
89 177788.888889rpm
90 179808.080808rpm
91 181827.272727rpm
92 183846.464646rpm
93 185865.656566rpm
94 187884.848485rpm
95 189904.040404rpm
96 191923.232323rpm
97 193942.424242rpm
98 195961.616162rpm
99 197980.808081rpm
100 200000.000000rpm
